FIA ID,Common name,Family,Genus,Species,Species group,Wood specific gravity,Bark specific gravity,gravity source,equation
0,conifers (general),,,,,,,,
10,fir spp.,Pinaceae,Abies,spp.,tf,0.357,0.375,,94
11,Pacific silver fir,Pinaceae,Abies,amabilis,tf,0.4,,,
12,balsam fir,Pinaceae,Abies,balsamea,tf,0.34,0.375,94,12
13,silver fir (Himalaya),Pinaceae,Abies,pindrow,tf,,,,
14,Bristlecone fir,Pinaceae,Abies,bracteata,tf,,,,
15,White fir,Pinaceae,Abies,concolor,tf,0.37,,,
16,Fraser fir,Pinaceae,Abies,fraseri,tf,0.34,0.4,,12
17,Grand fir,Pinaceae,Abies,grandis,tf,0.35,,,
18,Corkbark fir,Pinaceae,Abies,lasiocarpa var. arizonica,tf,0.28,,,
19,Subalpine fir,Pinaceae,Abies,lasiocarpa,tf,0.31,,,
20,California red fir,Pinaceae,Abies,magnifica,tf,0.37,,,
21,Shasta red fir,Pinaceae,Abies,magnifica var. shastensis,tf,0.37,,,
22,Noble fir,Pinaceae,Abies,procera,tf,0.37,,,
41,Port-Orford-cedar,Pinaceae,Chamaecyparis,lawsoniana,cl,0.39,,,
42,Alaska-cedar,Pinaceae,Chamaecyparis,nootkatensis,cl,0.42,,,
43,Atlantic white-cedar,Pinaceae,Chamaecyparis,thyoides,cl,0.31,0.4,,241
50,Cypress,Cupressaceae,Cupressus,spp.,wo,,,,
51,Arizona cypress,Cupressaceae,Cupressus,arizonica,wo,,,,
58,Pinchot juniper,Cupressaceae,Juniperus,pinchotti,wo,,,,
59,Redberry juniper,Cupressaceae,Juniperus,erythrocarpa,wo,,,,
60,Common juniper,Cupressaceae,Juniperus,communis,wo,0.44,0.4,,94
60,redcedar,Cupressaceae,Juniperus,spp.,cl,0.44,0.4,,241
62,California juniper,Cupressaceae,Juniperus,californica,wo,,,,
63,Alligator juniper,Cupressaceae,Juniperus,deppeana,wo,0.48,,,
64,Western juniper,Cupressaceae,Juniperus,occidentalis,wo,,,,
65,Utah juniper,Cupressaceae,Juniperus,osteosperma,wo,,,,
66,Rocky Mountain juniper,Cupressaceae,Juniperus,scopulorum,wo,0.44,0.4,,94
67,southern redcedar,Cupressaceae,Juniperus,silicicola,cl,0.44,0.4,,241
68,eastern redcedar,Cupressaceae,Juniperus,virginiana,cl,0.44,0.4,,241
69,Oneseed juniper,Cupressaceae,Juniperus,monosperma,wo,,,,
70,larch (introduced),Pinaceae,Larix,spp.,cl,0.48,0.4,,125
71,tamarack (native),Pinaceae,Larix,laricina,cl,0.49,0.4,,125
72,Subalpine larch,Pinaceae,Larix,lyallii,cl,0.48,,,
73,Western larch,Pinaceae,Larix,occidentalis,cl,0.48,,,
81,Incense-cedar,Cupressaceae,Calocedrus,decurrens,cl,0.35,,,
90,spruce,Pinaceae,Picea,spp.,sp,0.366,0.3,,94
91,Norway spruce,Pinaceae,Picea,abies,sp,0.38,0.4,,94
92,Brewer spruce,Pinaceae,Picea,breweriana,sp,,,,
93,Engelmann spruce,Pinaceae,Picea,engelmannii,sp,0.33,0.4,,94
94,white spruce,Pinaceae,Picea,glauca,sp,0.37,0.29,46,94
95,black spruce,Pinaceae,Picea,mariana,sp,0.38,0.351,94,95
96,blue spruce,Pinaceae,Picea,pungens,sp,0.38,0.4,,94
97,red spruce,Pinaceae,Picea,rubens,sp,0.38,0.32,,94
98,Sitka spruce,Pinaceae,Picea,sitchensis,sp,0.37,,,
100,pine spp.,Pinaceae,Pinus,spp.,pi,,,,
101,Whitebark pine,Pinaceae,Pinus,albicaulis,pi,,,,
102,Bristlecone pine,Pinaceae,Pinus,aristata,pi,,,,
103,Knobcone pine,Pinaceae,Pinus,attenuata,pi,,,,
104,Foxtail pine,Pinaceae,Pinus,balfouriana,pi,,,,
105,jack pine,Pinaceae,Pinus,banksiana,pi,0.4,0.34,94,105
106,Twoneedle pinyon,Pinaceae,Pinus,edulis,pi,,,,
107,sand pine,Pinaceae,Pinus,clausa,pi,0.46,0.45,,125
108,Lodgepole pine,Pinaceae,Pinus,contorta,pi,0.38,,,
109,Coulter pine,Pinaceae,Pinus,coulteri,pi,,,,
110,shortleaf pine,Pinaceae,Pinus,echinata,pi,0.47,0.45,,125
111,slash pine,Pinaceae,Pinus,elliottii,pi,0.54,0.45,,125
112,Apache pine,Pinaceae,Pinus,engelmannii,pi,,,,
113,Limber pine,Pinaceae,Pinus,flexilis,pi,0.37,,,
114,Southwestern white pine,Pinaceae,Pinus,strobiformis,pi,,,,
115,spruce pine,Pinaceae,Pinus,glabra,pi,0.41,0.45,,125
116,Jeffrey pine,Pinaceae,Pinus,jeffreyi,pi,0.37,,,
117,Sugar pine,Pinaceae,Pinus,lambertiana,pi,0.34,,,
118,Chihuahuan pine,Pinaceae,Pinus,leiophylla,pi,,,,
119,Western white pine,Pinaceae,Pinus,monticola,pi,0.35,,,
120,Bishop pine,Pinaceae,Pinus,muricata,pi,,,,
121,longleaf pine,Pinaceae,Pinus,palustris,pi,0.54,0.45,,125
122,ponderosa pine,Pinaceae,Pinus,ponderosa,pi,0.38,0.4,,125
123,Table Mountain pine,Pinaceae,Pinus,pungens,pi,0.49,0.45,,125
124,Monterey pine,Pinaceae,Pinus,radiata,pi,,,,
125,red pine,Pinaceae,Pinus,resinosa,pi,0.41,0.243,,125
126,pitch pine,Pinaceae,Pinus,rigida,pi,0.47,0.45,,125
127,California foothill pine,Pinaceae,Pinus,sabiniana,pi,,,,
128,pond pine,Pinaceae,Pinus,serotina,pi,0.51,0.45,,125
129,eastern white pine,Pinaceae,Pinus,strobus,pi,0.34,0.34,,129
130,Scotch pine,Pinaceae,Pinus,sylvestris,pi,0.41,0.45,,125
131,loblolly pine,Pinaceae,Pinus,taeda,pi,0.47,0.45,,125
132,Virginia pine,Pinaceae,Pinus,virginiana,pi,0.45,0.45,,125
133,Singleleaf pinyon,Pinaceae,Pinus,monophylla,pi,0.41,0.4,,94
133,Austrian pine,Pinaceae,Pinus,nigra,pi,0.41,0.4,,125
134,Border pinyon,Pinaceae,Pinus,discolor,pi,,,,
135,Arizona pine,Pinaceae,Pinus,arizonica,pi,,,,
136,Border pinyon,Pinaceae,Pinus,cembroides,pi,,,,
145,Roxburg pine,Pinaceae,Pinus,roxburghii (Himalayas),pi,,,,
201,Bigcone Douglas-fir,Pinaceae,Pseudotsuga,macrocarpa,df,,,,
202,Douglas-fir,Pinaceae,Pseudotsuga,menziesii,df,0.45,0.4,,94
211,Redwood,Taxodiaceae,Sequoia,sempervirens,cl,0.36,,,
212,Giant sequoia,Taxodiaceae,Sequoiadendron,giganteum,cl,,,,
221,baldcypress,Cupressaceae,Taxodium,distichum,cl,0.42,0.42,,241
222,pondcypress,Cupressaceae,Taxodium,distichum var. nutans,cl,,,,
231,Pacific yew,Taxaceae,Taxus,brevifolia,tf,0.6,,,
241,northern white-cedar,Cupressaceae,Thuja,occidentalis,cl,0.29,0.29,,241
242,Western redcedar,Cupressaceae,Thuja,plicata,cl,0.31,,,
251,California nutmeg,Taxaceae,Torreya,californica,tf,,,,
260,hemlock,Pinaceae,Tsuga,spp.,tf,0.38,0.34,,261
261,eastern hemlock,Pinaceae,Tsuga,canadensis,tf,0.38,0.34,,261
262,Carolina hemlock,Pinaceae,Tsuga,caroliniana,tf,0.38,0.34,,261
263,Western hemlock,Pinaceae,Tsuga,heterophylla,tf,0.42,,,
264,Mountain hemlock,Pinaceae,Tsuga,mertensiana,tf,0.42,,,
290,timber tree,Mimosaceae,Albizia,falcataria (Hawaii),wo,,,,
300,acacia,various,Acacia,spp.,wo,0.6,0.5,,316
302,yellow paloverde,Caesalpinaceae,Cercidium,microphyllum,wo,,,,
303,Australian blackwood,Fabaceae,Acacia,melanoxylon (Hawaii),wo,,,,
304,prickly acacia,Fabaceae,Acacia,nilotica (India),wo,,,,
305,earleaf acacia,Leguminosae,Acacia,auriculiformis (Thailand),wo,,,,
306,mangium,Fabaceae,Acacia,mangium (Hawaii),wo,,,,
307,black wattle,Fabaceae,Acacia,mearnsii (Hawaii),wo,,,,
308,willow acacia,Fabaceae,Acacia,salicina,wo,,,,
309,black cutch,Fabaceae,Acacia,catechu (India),wo,,,,
310,Australian pine,Casuarinaceae,Casuarina,equisetifolia (Hawaii),wo,,,,
311,Florida maple,Aceraceae,Acer,barbatum,mb,0.54,0.64,,318
312,Bigleaf maple,Aceraceae,Acer,macrophyllum,mb,0.44,,,
313,boxelder,Aceraceae,Acer,negundo,mb,0.44,0.5,,970
314,black maple,Aceraceae,Acer,nigrum,mo,0.52,0.64,,316
315,striped maple,Aceraceae,Acer,pensylvanicum,mb,0.44,0.45,,316
316,red maple,Aceraceae,Acer,rubrum,mb,0.49,0.5805,36,316
317,silver maple,Aceraceae,Acer,saccharinum,mb,0.44,0.58,,316
318,sugar maple,Aceraceae,Acer,saccharum,mo,0.56,0.635,93,318
319,mountain maple,Aceraceae,Acer,spicatum,mb,0.44,0.45,,316
321,Rocky Mountain maple,Aceraceae,Acer,glabrum,wo,0.44,0.45,,318
322,Bigtooth maple,Aceraceae,Acer,grandidentatum,wo,,,,
330,"buckeye, horsechestnut",Hippocastanaceae,Aesculus,spp.,mh,0.33,0.5,,541
331,Ohio buckeye,Hippocastanaceae,Aesculus,glabra,mh,0.33,0.5,,541
332,yellow buckeye,Hippocastanaceae,Aesculus,octandra,mh,0.33,0.5,,541
333,California buckeye,Hippocastanaceae,Aesculus,californica,mh,0.33,0.5,,541
334,Texas buckeye,Hippocastanaceae,Aesculus,glabra var. arguta,mh,,,,
335,horsechestnut,Hippocastanaceae,Aesculus,indica (Himalayas),mh,,,,
341,ailanthus,Simaroubaceae,Ailanthus,altissima,mh,0.33,0.45,,316
351,red alder,Betulaceae ,Alnus,spp.,aa,0.37,0.4,,316
352,White alder,Betulaceae ,Alnus,rhombifolia,aa,,,,
353,sitka alder,Betulaceae,Alnus,sinuata,aa,,,,
355,serviceberry,Rosaceae,Amelanchier,spp.,mh,0.66,0.45,,316
361,Pacific madrone,Ericaceae,Arbutus,menziesii,mh,,,,
367,pawpaw,Annonaceae,Asimina,triloba,mh,0.47,0.45,,316
370,birch spp.,Betulaceae,Betula,spp.,mb,0.54,0.5,,371
371,yellow birch,Betulaceae,Betula,alleghaniensis,mb,0.55,0.56,,371
372,sweet birch,Betulaceae,Betula,lenta,mb,0.6,0.67,36,371
373,river birch,Betulaceae,Betula,nigra,mb,0.56,0.5,,371
374,water birch,Betulaceae,Betula,occidentalis,mb,0.53,0.5,,371
375,paper birch,Betulaceae,Betula,papyrifera,mb,0.48,0.5,,375
376,Western paper birch,Betulaceae,Betula,papyrifera var. commutata,mb,,,,
379,gray birch,Betulaceae,Betula,populifolia,mb,0.45,0.5,,375
381,"chittamwood, gum bumelia",Sapotaceae,Bumelia,lanuginosa,mh,0.47,0.45,,316
391,"American hornbeam, musclewood",Betulaceae,Carpinus,caroliniana,mh,0.58,0.45,,316
395,lead tree,Fabaceae,Leucaena,leucocephala (Thailand),mh,,,,
400,hickory spp.,Juglandaceae,Carya,spp.,mo,0.62,0.5355,36,951
401,water hickory,Juglandaceae,Carya,aquatica,mo,0.61,0.54,,951
402,bitternut hickory,Juglandaceae,Carya,cordiformis,mo,0.6,0.54,,951
403,pignut hickory,Juglandaceae,Carya,glabra,mo,0.66,0.54,,951
404,pecan,Juglandaceae,Carya,illinoensis,mo,0.6,0.54,,951
405,shellbark hickory,Juglandaceae,Carya,laciniosa,mo,0.62,0.54,,951
407,shagbark hickory,Juglandaceae,Carya,ovata,mo,0.64,0.54,,951
408,black hickory,Juglandaceae,Carya,texana,mo,0.54,0.54,,951
409,mockernut hickory,Juglandaceae,Carya,tomentosa,mo,0.64,0.54,,951
421,American chestnut,Fagaceae,Castanea,dentata,mh,0.4,0.5,,316
422,Allegheny chinkapin,Fagaceae,Castanea,pumila,mh,0.4,0.5,,316
423,Ozark chinkapin,Fagaceae,Castanea,ozarkensis,mh,0.4,0.5,,970
430,chinkapin,Fagaceae,Castanopsis,spp.,mh,0.42,0.45,,316
431,Golden chinkapin,Fagaceae,Castanopsis,chrysophylla,mh,,,,
450,catalpa,Bignoniaceae,Catalpa,spp.,mh,0.38,0.5,,740
451,southern catalpa,Bignoniaceae,Catalpa,bignonioides,mh,0.38,0.45,,316
452,northern catalpa,Bignoniaceae,Catalpa,speciosa,mh,0.38,0.5,,740
460,hackberry spp.,Ulmaceae,Celtis,spp.,mh,0.49,0.5,,371
461,sugarberry,Ulmaceae,Celtis,laevigata,mh,0.47,0.5,,371
462,hackberry,Ulmaceae,Celtis,occidentalis,mh,0.49,0.5,,371
471,eastern redbud,Leguminosae,Ceriss,canadensis,mh,0.58,0.5,,316
475,Curlleaf mountain-mahogany,Rosaceae,Cercocarpus,ledifolius,wo,,,,
476,True mountain-mahogany,Rosaceae,Cercocarpus,montanus,wo,,,,
477,Hairy mountain-mahogany,Rosaceae,Cercocarpus,montanus var. pauciden,wo,,,,
478,Birchleaf mountain-mahogany,Rosaceae,Cercocarpus,montanus var. glaber,wo,,,,
479,Littleleaf mountain-mahogany,Rosaceae,Cercocarpus,intricatus,wo,,,,
491,flowering dogwood,Cornaceae,Cornus,florida,mh,0.64,0.5,,316
492,Pacific dogwood,Cornaceae,Cornus,nuttallii,mh,0.58,,,
500,hawthorn,Rosaceae,Crataegus,spp.,mh,0.62,0.45,,316
510,Eucalyptus,Myrtaceae,Eucalyptus,spp.,mh,,,,
511,rose gum,Myrtaceae,Eucalyptus,grandis (Hawaii),mh,,,,
512,swamp mahogany,Myrtaceae,Eucalyptus,robusta (Hawaii),mh,,,,
513,sydney blue eucalyptus,Myrtaceae,Eucalyptus,saligna (Hawaii),mh,,,,
514,flat-topped yate,Myrtaceae,Eucalyptus,occidentalis,mh,,,,
515,Tasmanian blue gum,Myrtaceae,Eucalyptus,globulus (Hawaii),mh,,,,
516,Timor mountain gum,Myrtaceae,Eucalyptus,urophylla (Hawaii),mh,,,,
521,common persimmon,Ebenaceae,Diospyros,virginiana,mh,0.64,0.5,,316
531,American beech,Fagaceae,Fagus,grandifolia,mo,0.56,0.5,,531
540,ash,Oleaceae,Fraxinus,spp.,mh,0.51,0.65,28,541
541,white ash,Oleaceae,Fraxinus,americana,mh,0.55,0.3855,36,541
542,Oregon ash,Oleaceae,Fraxinus,latifolia,mh,0.5,,,
543,black ash,Oleaceae,Fraxinus,nigra,mh,0.45,0.39,,543
544,green ash,Oleaceae,Fraxinus,pennsylvanica,mh,0.53,0.407,33,541
545,pumpkin ash,Oleaceae,Fraxinus,profunda,mh,0.48,0.39,,541
546,blue ash,Oleaceae,Fraxinus,quadrangulata,mh,0.53,0.39,,541
551,waterlocust,Leguminosae,Gleditsia,aquatica,mh,0.6,0.5,,316
552,honeylocust,Leguminosae,Gleditsia,triacanthos,mh,0.6,0.5,,316
555,loblolly-bay,Theaceae,Gordonia,lasianthus,mh,0.37,0.5,,951
571,Kentucky coffeetree,Leguminosae,Gymnocladus,dioicus,mh,0.5,0.5,,316
580,silverbell,Styracaceae,Halesia,spp.,mh,0.42,0.5,,
591,American holly,Aquifoliaceae,Ilex,opaca,mh,0.5,0.5,,316
600,Walnut,Juglandaceae,Juglans,spp.,mh,0.51,,,
601,butternut,Juglandaceae,Juglans,cinerea,mh,0.36,0.5,,531
602,black walnut,Juglandaceae,Juglans,nigra,mh,0.51,0.5,,951
606,walnut,Juglandaceae,Juglans,regia (Himalayas),mh,,,,
611,sweetgum,Hamamelidaceae,Liquidambar,styraciflua,mh,0.46,0.3903,35,951
621,yellow-poplar,Magnoliaceae,Liriodendron,tulipifera,mh,0.4,0.364,36,746
631,Tanoak,Fagaceae,Lithocarpus,densiflorus,mh,,,,
641,Osage-orange,Moraceae,Maclura,pomifera,mh,0.76,0.45,,316
650,magnolia spp.,Magnoliaceae,Magnolia,spp.,mh,0.43,0.5,,951
651,cucumbertree,Magnoliaceae,Magnolia,acuminata,mh,0.44,0.5,,951
652,southern magnolia,Magnoliaceae,Magnolia,grandiflora,mh,0.46,0.46,,951
653,sweetbay,Magnoliaceae,Magnolia,virginiana,mh,0.45,0.5,,951
654,bigleaf magnolia,Magnoliaceae,Magnolia,macrophylla,mh,0.45,0.45,,951
660,Apple,Rosaceae,Malus,spp.,mh,0.61,0.45,,316
680,mulberry spp.,Moraceae,Morus,spp.,mh,0.59,0.5,,371
681,white mulberry,Moraceae,Morus,alba,mh,0.59,0.5,,371
682,red mulberry,Moraceae,Morus,rubra,mh,0.59,0.5,,316
691,water tupelo,Nyssaceae,Nyssa,aquatica,mh,0.46,0.3483,33,951
692,ogeechee tupelo,Nyssaceae,Nyssa,ogeche,mh,0.46,0.45,,316
693,blackgum,Nyssaceae,Nyssa,sylvatica,mh,0.46,0.4465,36,951
694,swamp tupelo,Nyssaceae,Nyssa,sylvatica var. biflora,mh,0.46,0.35,,951
701,"eastern hophornbeam, ironwood",Betulaceae,Ostrya,virginiana,mh,0.63,0.45,,316
711,sourwood,Ericaceae,Oxydendrum,arboreum,mh,0.5,0.45,,316
712,"Paulownia, Empress tree",Bignoniaceae,Paulownia,tomentosa,mh,0.38,0.5,,316
721,redbay,Lauraceae,Persea,borbonia,mh,0.51,0.5,,371
730,California sycamore,Platanaceae,Platanus,racemosa,mh,0.36,,,
731,sycamore,Platanaceae,Platanus,occidentalis,mh,0.46,0.5177,34,531
740,cottonwood,Salicaceae,Populus,spp.,aa,0.37,0.452,,740
741,balsam poplar,Salicaceae,Populus,balsamifera,aa,0.31,0.452,,740
742,eastern cottonwood,Salicaceae,Populus,deltoides,aa,0.37,0.452,,740
743,bigtooth aspen,Salicaceae,Populus,grandidentata,aa,0.36,0.452,,743
744,swamp cottonwood,Salicaceae,Populus,heterophylla,aa,0.37,0.452,,740
745,plains cottonwood,Salicaceae,Populus,sargentii,aa,0.37,0.452,,740
746,quaking aspen,Salicaceae,Populus,tremuloides,aa,0.35,0.452,94,746
747,Black cottonwood,Salicaceae,Populus,balsamifera sspp. Trichocar,aa,0.31,,,
748,Fremont cottonwood,Salicaceae,Populus,fremontii,aa,,,,
752,silver poplar,Salicaceae,Populus,alba,aa,0.37,0.452,,746
753,Narrowleaf cottonwood,Salicaceae,Populus,angustifolia,aa,0.37,0.452,,740
760,"cherry, plum spp.",Rosaceae,Prunus,spp.,mh,0.47,0.45,,316
761,pin cherry,Rosaceae,Prunus,pensylvanica,mh,0.36,0.45,,316
762,black cherry,Rosaceae,Prunus,serotina,mh,0.47,0.5925,145,375
763,chokecherry,Rosaceae,Prunus,virginiana,mh,0.36,0.45,,316
764,Bitter cherry,Rosaceae,Prunus,emarginata,wo,0.47,0.45,,316
764,"plums, cherries, except 762",Rosaceae,Prunus,spp.,mh,0.47,0.45,,316
765,Canada plum,Rosaceae,Prunus,nigra,mh,0.47,0.45,,316
766,wild plum,Rosaceae,Prunus,americana,mh,0.47,0.45,,740
800,Oak-deciduous (woodland species),Fagaceae,Quercus,spp.,wo,,,,
801,California live oak,Fagaceae,Quercus,agrifolia,mo,,,,
802,white oak,Fagaceae,Quercus,alba,mo,0.6,0.513,36,802
803,"Arizona white oak, Gray oak",Fagaceae,Quercus,"arizonica, grisea",wo,,,,
804,swamp white oak,Fagaceae,Quercus,bicolor,mo,0.64,0.513,,802
805,Canyon live oak,Fagaceae,Quercus,chrysolepis,mo,0.7,,,
806,scarlet oak,Fagaceae,Quercus,coccinea,mo,0.6,0.6357,36,833
807,Blue oak,Fagaceae,Quercus,douglasii,mo,,,,
808,Durand oak,Fagaceae,Quercus,durandii,mo,0.6,0.513,,802
809,northern pin oak,Fagaceae,Quercus,ellipsoidalis,mo,0.58,0.6,,802
810,Emory oak,Fagaceae,Quercus,emoryi,wo,,,,
811,Engelmann oak,Fagaceae,Quercus,engelmannii,mo,,,,
812,southern red oak,Fagaceae,Quercus,falcata var. falcata,mo,0.52,0.6465,35,833
813,"cherrybark oak, swamp red oak",Fagaceae,Quercus,falcata var. pagodaefolia,mo,0.61,0.629,,833
814,Gambel oak,Fagaceae,Quercus,gambelii,wo,,,,
815,Oregon white oak,Fagaceae,Quercus,garryana,mo,0.64,,,
816,"bear oak, scrub oak",Fagaceae,Quercus,ilicifolia,mo,0.56,0.45,,833
817,shingle oak,Fagaceae,Quercus,imbricaria,mo,0.56,0.6,,802
818,California black oak,Fagaceae,Quercus,kelloggii,mo,0.51,,,
819,turkey oak,Fagaceae,Quercus,laevis,mo,0.52,0.45,,316
820,laurel oak,Fagaceae,Quercus,laurifolia,mo,0.56,0.635,33,833
821,California white oak,Fagaceae,Quercus,lobata,mo,,,,
822,overcup oak,Fagaceae,Quercus,lyrata,mo,0.57,0.51,,833
823,bur oak,Fagaceae,Quercus,macrocarpa,mo,0.58,0.513,,802
824,blackjack oak,Fagaceae,Quercus,marilandica,mo,0.56,0.6,,833
825,swamp chestnut oak,Fagaceae,Quercus,michauxii,mo,0.6,0.513,,802
826,chinkapin oak,Fagaceae,Quercus,muehlenbergii,mo,0.6,0.513,,802
827,water oak,Fagaceae,Quercus,nigra,mo,0.56,0.622,33,833
828,Nuttall oak,Fagaceae,Quercus,nuttalii,mo,0.56,0.6,,802
829,Mexican blue oak,Fagaceae,Quercus,oblongifolia,wo,,,,
830,pin oak,Fagaceae,Quercus,palustris,mo,0.58,0.6,,833
831,willow oak,Fagaceae,Quercus,phellos,mo,0.56,0.6,,802
832,chestnut oak,Fagaceae,Quercus,prinus,mo,0.57,0.509,36,802
833,northern red oak,Fagaceae,Quercus,rubra,mo,0.56,0.629,,833
834,Shumard oak,Fagaceae,Quercus,shumardii,mo,0.56,0.629,,802
835,post oak,Fagaceae,Quercus,stellata,mo,0.6,0.5155,35,833
836,Delta post oak,Fagaceae,Quercus,stellata var. mississippiensis,mo,0.6,0.51,,833
837,black oak,Fagaceae,Quercus,velutina,mo,0.56,0.568,36,833
838,live oak,Fagaceae,Quercus,virginiana,mo,0.8,0.51,,833
839,Interior live oak,Fagaceae,Quercus,wislizeni,mo,,,,
840,bluejack oak,Fagaceae,Quercus,incana,mo,0.56,0.45,,802
843,Silverleaf oak,Fagaceae,Quercus,hypoleucoides,wo,,,,
850,Oakevergreen (woodland species),Fagaceae,Quercus,spp.,wo,,,,
855,banj oak,Fagaceae,Quercus,leucotricophora,mo,,,,
856,kharsu oak,Fagaceae,Quercus,semecarpifolia,mo,,,,
899,scrub oak,Fagaceae,Quercus,spp.,mo,0.56,0.45,,802
901,black locust,Leguminosae,Robinia,psuedoacacia,mh,0.66,0.286,36,316
902,New Mexico locust,Leguminosae,Robinia,neomexicana,wo,,,,
920,willow,Salicaceae,Salix,spp.,aa,0.36,0.415,28,316
921,peachleaf willow,Salicaceae,Salix,amygdaloides,aa,0.36,0.45,,316
922,black willow,Salicaceae,Salix,nigra,aa,0.36,0.5,,316
923,diamond willow,Salicaceae,Salix,eriocephala,aa,0.36,0.45,,316
925,Chinese tallowtree,Euphorbiaceae,Sapium,sebiferum,mh,0.47,0.45,,316
931,sassafras,Lauraceae,Sassafras,albidum,mh,0.42,0.5,,316
935,American mountain-ash,Rosaceae,Sorbus,americana,mh,0.42,0.45,,316
936,European mountain-ash,Rosaceae,Sorbus,aucuparia,mh,0.42,0.45,,316
950,basswood,Tiliaceae,Tilia,spp.,mh,0.32,0.4205,,951
951,American basswood,Tiliaceae,Tilia,americana,mh,0.32,0.4205,36,951
952,white basswood,Tiliaceae,Tilia,heterophylla,mh,0.32,0.4205,,951
970,elm,Ulmaceae,Ulmus,spp.,mh,0.5,0.3775,34,970
971,winged elm,Ulmaceae,Ulmus,alata,mh,0.57,0.5,,970
972,American elm,Ulmaceae,Ulmus,americana,mh,0.46,0.5,,970
973,cedar elm,Ulmaceae,Ulmus,crassifolia,mh,0.57,0.5,,970
974,Siberian elm,Ulmaceae,Ulmus,pumila,mh,0.46,0.5,,970
975,slippery elm,Ulmaceae,Ulmus,rubra,mh,0.48,0.5,,970
976,September elm,Ulmaceae,Ulmus,serotina,mh,0.57,0.5,,970
977,rock elm,Ulmaceae,Ulmus,thomasii,mh,0.57,0.5,,970
980,tung-oil tree,Euphorbiaceae,Aleurites,fordii,mh,0.47,0.45,,316
981,California-laurel,Ericaceae,Umbellularia,californica,mh,0.47,0.45,,316
981,sparkleberry,Ericaceae,Vaccinium,arboreum,mh,0.47,0.45,,316
983,chinaberry,Meliaceae,Melia,azedarach,mh,0.47,0.45,,316
984,water-elm,Ulmaceae,Planera,aquatica,mh,0.53,0.45,,970
985,smoketree,Anacardiaceae,Cotinus,obovatus,mh,0.47,0.45,,316
986,mesquite,Leguminosae,Prosopis,spp.,wo,0.58,0.45,,316
990,Tesota (Arizona ironwood),Leguminosae,Olneya,tesota,wo,,,,
1000,hardwoods (general),General,Hardwood,spp.,mh,0.5,0.5,,951
,,,,,,,,,
