Stand_code,OSVI,ACPE,RUBUS,FAGR,CAOV,PIST,ACSA,BENI,ACRU,HAVI,PRPE,FRAM,CACO,VIDE,PRSE,RUPA,BEAL,SAMB,TIAM,VIAL,PIRU,ACSP,ACPA,QURU,ABBA,PRVI,ACSP2,AMAR,COCO,BEFA,JUCI,CEOR,SWAL,PRSP,LONI,CRMA,LOMA,QUAL,RICY,RIBES,BEPA,ULSP,VIAC,ULRU,PAQU,VISP,FRNI,POTR,BELE,PODE,ULAM,LITU,CACA,PISP,COAM,TSCA,VITUS,BESP
ASF114,3.25,1.25,4.5,13,0.25,0.25,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRSP,1.5,3.5,0.5,8.25,0,0,3.75,0.5,1.25,1.25,0.75,0.75,0.25,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH138,0.571428571,4,16.28571429,18.28571429,0,0,22.14285714,0,0.142857143,0,0.142857143,6.857142857,0,0,0,0.285714286,2.285714286,1,0.714285714,1.714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH145,0,2.75,0,5.5,0,0,29,0,5.25,0,0,0,0,0,0,0,0.25,0,0.25,0,0.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH2214,4,2.5,0,10,0,0,61.75,0,24.25,0,0,0,0,0,0.25,0,0.5,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH224,2,5.333333333,3.666666667,4,0,0,34,0,0,0,0,4,0,0,0.5,0,4.333333333,1.166666667,0.333333333,0.166666667,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH231,4.5,5.75,0.5,5.5,0,0,35.25,0,2,0,0,0,0,0,0,0,4.75,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMSF11,0,9,0,1.5,0,0,13.25,0,2,0,0,1.5,0,0,0,0,0.75,0,0,0.5,0.75,0,0,0.5,5.25,0.75,6,0.25,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMSF62,0,5.5,0,4,0,0,5.25,0,2.5,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.5,7.25,0.5,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CWE,3,0,0,5.75,0,0,20.25,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHSP,0,2.333333333,3,0,0,0,7.833333333,0,0.833333333,0,0.166666667,0.5,0,0,0.833333333,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GMA,0,8.75,0.25,25.5,0,0,1.25,0,3.25,0,0.5,7.25,0,0,0,0,23.75,0.25,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GMCB,0,9,22.83333333,7.666666667,0,0,22,0,0,0,0.333333333,20.5,0,0,0,0,4.166666667,0.166666667,0.166666667,13.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GMMT,0,2.666666667,27,4,0,0,13.16666667,0,0.333333333,0,0,3.5,0,0,0.166666667,0,1.333333333,1.5,0,4.333333333,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GMRB5,0,1.5,0,12,0,0,13,0,1.5,0,0,0.25,0,0,1,0,3.5,0,0,24.5,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GMRB6,0,9.5,0,9.75,0,0,1.5,0,2.5,0,0,2.75,0,0,2,0,0,0,0,0,0.5,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GMSS,0,5.5,4.666666667,0.833333333,0,0,5.5,0,1.166666667,0,0,1.166666667,0,0,1.5,0,0.5,0.166666667,0,7.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GSF396,0,15.28571429,42.57142857,4.571428571,0,0,18.71428571,0,3.428571429,0,0,1.857142857,0,0,2.714285714,0,0.857142857,0,0,0,0,0,0,0,0.285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HMSP,0,1.25,2.5,3.25,0,8,4.75,0,0.5,0,0,2,0.5,0,1,0,0,0,0,0,0,0,0,0.5,0,1.5,0,0.25,0,0,0,0,0.5,0,0,0.25,1.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR,3.2,1.8,0,2.4,0,0,38.8,0,4.4,0,0,0.6,0,0,0,0,0.1,0,0.4,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.2,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSF161,0,0,14,0,0,0,6.833333333,0,0.333333333,5.333333333,0,8,0.333333333,0,1.833333333,0,0,0,0,0,0,0,0,0,0,0.833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0.166666667,0.166666667,2.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0
HSP118,0,7.75,0,4.25,0,0,36.5,0,0,0,0,3.25,0,0,1.25,0,0.5,0,0,2.75,0.25,0,0,0,5,0,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
JMP1,0.75,21.75,0,2.75,0,0,35.25,0,0.5,0,0.25,2.25,0,0,0.75,0,0.25,0,0,0,0,0,0,0,0,1.25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JMP3,0.75,4.5,0,9,0,0,24.5,0,0.75,0,1.5,2.75,0,0,0.25,0,1.25,0.25,0,0,1,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JMP7,0.75,6.5,0,17.5,0,0,83.75,0,0.5,0,0,1.75,0,0,0,0,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JNP,1.25,0,0,0,0,0,3.75,0,0,0,0,4,0,0,0,0,1.25,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0
KMSF,0,7.75,0,6.25,0,0,5.75,0,0,0,0,0,0,0,0,0,0.75,2,0,0,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MP,0,12.75,0,0.5,0,0,158.25,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MP1314,0,17.5,3.833333333,2,0,0,104.3333333,0,0,0,0,5.333333333,0,0,5,0,3.333333333,0.666666667,0.333333333,0,0,1.166666667,0,0,0,0,0.166666667,0,0,0,0,0,1.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0
MP19,0.857142857,7.285714286,0.857142857,0.714285714,0,0,33.57142857,0,4.428571429,0,0,5,0,0,0.857142857,0,0.571428571,0,0.285714286,0.142857143,1.142857143,0,0,0,2.285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0
MSF3111,0,11.25,1,2.75,0,0,131.25,0,3,0,0.25,3.25,0,0,0.25,0,3,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.25,0.75,0.25,0,0,0,0,0,0,0
OMSFCR,0.166666667,0.833333333,17.33333333,0.833333333,0,0,8,0,0.666666667,0,0.5,9.833333333,0,0,1,0,0.833333333,0,0,0,0,0,0,0.333333333,1.333333333,0,0.333333333,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,0,0,0,0.666666667,0.166666667,0.5,0.5,0,0,0,0
OMSFHR,1,1.166666667,4.166666667,12.66666667,0,0,0.333333333,0,16,0,0,4.166666667,0,0,0.166666667,0,5,0.166666667,0,0,0,0,0,1.333333333,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0
OMSFSCH,0,3.833333333,24.66666667,7.166666667,0,0,0.166666667,0,0.166666667,0,0,1.333333333,0,0,0.166666667,0,0.5,0.333333333,0,1.666666667,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OMSFSH14,0.166666667,1,37.33333333,11.5,0,0,0.666666667,0,3.666666667,0,0,0,0,0,0.333333333,0,2.833333333,0,0,3.833333333,0,0,0,0.166666667,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OMSFSH17,0,2,0.333333333,16.5,0,0,2.666666667,0,4.666666667,0,0,0.333333333,0,0,0.166666667,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OSFCD1,0,0,9,1.333333333,0,1.333333333,1.5,0,1.166666667,0,0,0.666666667,0,0,0.166666667,0,1.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833333333,0.166666667,0
OSFCD3,0.25,2.75,0,9.25,0,0,5.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSFPMH,0,4.666666667,26.83333333,3.666666667,0,0,8.5,0,0,0,0,2.166666667,0,0,0,0,3.166666667,0.166666667,0,0.833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSF1,0.285714286,1.142857143,21.85714286,4.142857143,0,0,1.857142857,0,0.571428571,0,0.714285714,0.428571429,0,0,0,0,0,0,0,0,0,0,0,0.571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428571429,0,0
SSFYL2,0,1.666666667,16.66666667,0.666666667,0,0,4.166666667,0,1.833333333,0,0,0.333333333,0,0,1.5,0,1.166666667,0,0,0,0,0,0,1.5,0,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.166666667,0,0.166666667,0,0,1.333333333,0,0,0,0,0,0,0.166666667,0,0,0,0,0
SW,0,2,0,0.25,0,0,49,0,0,0,0,0.75,0,0,0.25,0,0.25,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TNCLP,0.666666667,2.666666667,0,0.166666667,0,0,58,0,0.333333333,0,0.5,1.5,0,0,1.166666667,0,0,0.166666667,1.5,0,0.333333333,0,0,0,1.666666667,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TNCLPunh,2.25,0.75,0,0.5,0,0,41.5,0,0,0,0,1.25,0,0,0.75,0,0.25,0,0,0,0,0.25,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
TSF49,1,1.5,0,2,0,0,6.25,0,0,0,0,0.5,0,0,0.25,0,0,0,0,0,0,0,0,0.5,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
