plot_ID,azimuth,species,shrub,over_1_ft,over_4.5_ft,notes
HRgap1,0,FAGR,0,1,0,
HRgap2,0,ACSA,0,0,1,
HRgap2,240,FAGR,0,2,0,
HRmat1,240,ACSA-dead,0,0,1,
HRmat1,240,ACSA-dead,0,0,1,
HRmat1,0,FAGR,0,1,0,
HRmat1,0,FAGR-dead,0,0,1,
HRgap3,240,OSVI-dead,0,2,0,
HRgap3,120,ACSA-dead,0,0,1,
CH145unh2,0,FAGR,0,0,2,
CH145unh2,120,FAGR,0,1,0,
CH145unh2,240,UNK-dead,0,1,1,
HRunh3,120,FAGR,0,2,0,
HRunh3,0,FAGR,0,0,2,
HRunh3,0,BEAL,0,0,1,
HRunh3,0,OSVI,0,1,0,
HRunh3,240,ACSA,0,0,2,
CH145unh3,0,FAGR,0,0,2,
CH145unh3,240,FAGR,0,0,1,
CH145unh4,0,FAGR,0,1,0,
CH145unh4,120,ACSA,0,1,0,
CH145unh4,120,FAGR,0,1,0,
CH145unh4,120,ACPE,0,1,0,
CH2214unh1,120,FAGR,0,2,0,
CH2214unh1,240,FAGR,0,1,1,
CH2214unh2,0,FAGR,0,0,1,
CH2214unh2,120,FAGR,0,1,0,
CH2214unh2,240,FAGR,0,2,4,
CH2214unh3,0,ACSA-dead,0,0,1,
CH2214unh3,0,OSVI,0,1,0,
CH2214unh3,0,PRSE,0,1,0,
CH2214unh3,0,FAGR,0,1,0,
CH2214unh3,240,BEAL,0,1,0,
CH2214unh3,240,FAGR,0,2,1,
CH2214unh3,240,ACPE,0,1,0,
MP19gap1,0,ACRU,0,8,0,
MP19gap1,0,ACSA,0,9,0,
MP19gap1,120,ACPE ,0,2,0,
MP19gap1,120,ACSA,0,1,0,
MP19gap1,240,ACSA,0,1,0,
CH138mat1,120,ACPE ,0,3,0,
CH138mat1,120,FAGR,0,0,2,
CH138mat1,240,ACPE ,0,2,0,
CH138mat1,240,FAGR,0,0,2,
CH138gap1,0,RUBUS,8,0,0,
CH138gap1,240,FRAM,0,2,0,
CH138gap1,240,ACSA,0,2,0,
CH138gap1,240,BEAL,0,1,0,
CH138gap1,240,RUBUS,7,0,0,
CH138gap1,120,RUBUS,6,0,0,
CH138gap1,120,RUPA,2,0,0,
CH138gap2,240,BEAL,0,0,1,
CH138gap2,240,FAGR,0,0,10,
CH138gap2,240,VIAL,9,0,0,
CH138gap2,0,VIAL,0,0,1,
CH138gap2,0,FAGR,0,1,3,
CH138gap2,120,FAGR,0,0,7,
CH138gap2,120,SAMB,0,1,1,
CH138gap2,120,VIAL,0,0,1,
CH138gap2,120,BEAL,0,0,1,
MP19mat1,0,ACSA,0,0,2,
MP19mat1,120,ACSA,0,0,2,
MP19mat1,120,TIAM,0,1,1,
MP19gap2,120,FRAM,0,1,0,
MP19gap2,240,FRAM,0,5,0,
MP19mat2,0,BEAL,0,0,1,
MP19mat2,0,ABBA,0,3,0,
MP19mat2,0,FRNI,0,1,0,
MP19mat2,0,ACPE,0,1,0,
MP19mat2,120,ACPE,0,1,0,
MP19mat2,120,ACSA,0,3,0,
MP19mat2,240,ABBA,0,1,0,
MP19mat2,240,ACSA,0,1,0,
MP19gap3,0,PRSE,0,0,1,
MP19gap3,0,ACSA,0,2,0,
MP19gap3,0,ACPE ,0,7,0,
MP19gap3,120,ACPE ,0,5,0,
MP19gap3,120,ACSA,0,1,0,
MP19gap3,240,ACSA,0,3,0,
MP19mat3,240,FRAM,0,15,0,
MP19mat3,240,ACSA,0,4,0,
MP19mat3,240,PRSE,0,3,0,
MP19mat3,0,FRAM,0,1,1,
MP19mat3,0,PRSE,0,1,0,
MP19mat3,0,ACSA,0,1,0,
MP19mat3,0,VIAL,1,0,0,
MP19mat3,0,RUBUS,6,0,0,
MP1314gap1,240,ACSP,0,3,3,
MP1314gap1,240,ACSA,0,5,4,
MP1314gap1,240,FRAM,0,0,3,
MP1314gap1,240,ACPE,0,4,2,
MP1314gap1,0,ACSP,0,1,0,
MP1314gap1,0,ACSA,0,1,0,
MP1314gap1,0,PRSE,0,1,0,
MP1314gap1,0,ACPE,0,1,1,
MP1314gap1,0,BEAL,0,0,1,
MP1314gap1,0,FRAM,4,0,1,
MP1314gap1,0,RUBUS,0,0,0,
MP1314gap1,120,ACSA,0,7,15,
MP1314mat1,240,ACPE,0,18,1,
MP1314mat1,240,ACSA,0,1,1,
MP1314mat1,0,ACPE,0,5,1,
MP1314mat1,0,ACSA,0,0,3,
MP1314mat1,120,ACSA,0,1,1,
MP1314mat1,120,ACPE,0,0,3,
MP1314mat1,120,BEAL,0,0,1,
MP1314gap2,0,RUBUS,3,0,0,
MP1314gap2,120,RUBUS,1,0,0,
MP1314gap2,120,ACSA,0,1,0,
MP1314gap2,120,SAMB,0,1,0,
MP1314gap2,120,BEAL,0,3,0,
MP1314gap2,120,ACPE,0,0,1,
MP1314gap2,240,ACPE,0,0,1,
MP1314gap2,240,BEAL,0,1,2,
MP1314gap2,240,FAGR,0,0,1,
MP1314gap2,240,FRAM,0,0,1,
MP1314gap3,0,RUBUS,4,0,0,
MP1314gap3,0,PRSE,0,0,1,
MP1314gap3,0,ACSA,0,0,5,
MP1314gap3,120,PRSE,0,0,14,
MP1314gap3,120,BEAL,0,0,2,
MP1314gap3,120,FRAM,0,1,1,
MP1314gap3,120,ACPE,0,0,1,
MP1314gap3,120,RUBUS,4,0,0,
MP1314gap3,120,POTR,0,1,0,
MP1314gap3,240,RUBUS,11,0,0,
MP1314gap3,240,PRSE,0,0,1,
MP1314gap3,240,FRAM,0,1,0,
MP1314gap3,240,BEAL,0,1,0,
CH138mat2,0,FAGR,0,0,1,
CH138mat2,120,FAGR,0,2,0,
CH138mat2,120,ACSA,0,1,0,
CH138mat2,240,FAGR,0,2,0,
CH138mat2,240,ACSA,0,1,0,
CH138gap3,240,ACSA,0,1,0,
CH138gap3,240,RUBUS,11,0,0,
CH138gap3,240,FRAM,0,3,0,
CH138gap3,240,ACPE,0,0,1,
CH138gap3,240,BEAL,0,0,1,
CH138gap3,120,ACPE,0,0,6,
CH138gap3,120,FRAM,0,12,6,
CH138gap3,120,RUBUS,9,0,0,
CH138gap3,0,SAMB,2,0,0,
CH138gap3,0,RUBUS,9,0,0,
CH138gap3,0,FRAM,0,9,0,
CH138mat3,0,FAGR,0,3,5,
CH138mat3,0,ACSA,0,10,0,
CH138mat3,0,TIAM,0,1,0,
CH138mat3,120,FAGR,0,6,0,
CH138mat3,240,TIAM,0,1,0,
CH138mat3,240,RUBUS,4,0,0,
CH138mat3,240,ACSA,0,1,0,
CH138mat3,240,BEAL,0,2,1,
CH138mat3,240,FAGR,0,6,0,
CH138mat4,0,RUBUS,10,0,0,
CH138mat4,0,BEAL,0,0,3,
CH138mat4,240,RUBUS,7,0,0,
CH138mat4,240,ACPE,0,1,0,
CH138mat4,240,FRAM,0,2,0,
CH138mat4,240,ACSA,0,2,0,
CH138mat4,240,BEAL,0,1,0,
CH138mat4,120,RUBUS,6,0,0,
CH138mat4,120,SAMB,3,0,0,
CH138mat4,120,ACPE,0,0,4,
CH138mat4,120,FRAM,0,1,0,
CH145unh1,0,PIRU,0,0,2,
CH145unh1,120,ACPE,0,2,0,
CH2214unh4,0,FAGR,0,1,0,
CH2214unh4,0,SAMB,1,0,0,
CH2214unh4,120,ACPE,0,2,0,
CH2214unh4,240,ACPE-dead,0,0,1,
CH224gap1,0,RUBUS,5,0,0,
CH224gap1,0,ACPE,0,1,0,
CH224gap1,120,BEAL,0,13,2,
CH224gap1,120,VIAL,1,0,0,
CH224gap1,240,FAGR,0,4,0,
CH224gap1,240,OSVI,0,2,0,
CH224gap1,240,BEAL,0,1,0,
MP19gap4 ,0,ABBA,0,2,0,
MP19gap4 ,0,PRSE,0,1,0,
MP19gap4 ,0,ACPE,0,9,2,
MP19gap4 ,120,ACPE,0,3,0,
MP19gap4 ,120,FAGR,0,1,0,
MP19gap4 ,240,ABBA,0,1,0,
MP19gap4 ,240,ACPE,0,8,0,
MP19gap4 ,240,FAGR,0,1,0,
GMCBmat2,0,ACSA,0,14,4,
GMCBmat2,0,ACPE,0,4,1,
GMCBmat2,240,ACPE,0,2,3,
GMCBmat2,240,FAGR,0,0,1,
GMCBmat2,120,ACSA,0,4,1,
GMCBmat2,120,FAGR,0,2,0,
GMCBmat2,120,FRAM,0,6,0,
GMCBmat2,120,ACPE,0,1,0,
GMCBgap3,0,ACSA,0,20,1,
GMCBgap3,0,RUBUS,7,0,0,
GMCBgap3,0,FAGR,0,0,3,
GMCBgap3,0,FRAM,0,13,0,
GMCBgap3,120,FRAM,0,16,0,
GMCBgap3,120,RUBUS,10,0,0,
GMCBgap3,120,ACPE,0,1,0,
GMCBgap3,120,ACSA,0,3,0,
GMCBgap3,240,ACSA,0,20,0,
GMCBgap3,240,ACPE,0,4,0,
GMCBgap3,240,FRAM,0,12,0,
GMCBgap3,240,FAGR,0,1,0,
GMCBmat3,0,VIAL,16,0,0,
GMCBmat3,0,FAGR,0,0,2,
GMCBmat3,240,ACSA-dead,0,0,1,
GMCBmat3,240,FAGR,0,1,0,
GMCBmat3,240,ACSA,0,6,1,
GMCBmat3,240,ACPE,0,2,0,
GMCBmat3,120,VIAL,13,0,0,
GMAmat1,0,ACPE,0,1,2,
GMAmat1,0,BEAL,0,4,7,
GMAmat1,0,FAGR,0,0,7,
GMAmat1,120,ACPE,0,1,4,
GMAmat1,120,BEAL,0,2,1,
GMAmat1,120,FAGR,0,0,12,
GMAmat1,120,RUBUS,1,0,0,
GMAmat1,240,BEAL,0,0,4,
GMAmat1,240,FRAM,0,0,2,
GMAmat1,240,FAGR,0,1,2,
GMAmat1,240,ACPE,0,0,5,
GMAgap1,0,FRAM,0,0,4,
GMAgap1,0,FAGR,0,0,2,
GMAgap1,0,FAGR-dead,0,0,3,
GMAgap1,0,FRAM-dead,0,0,1,
GMAgap1,0,FRAM-dead,0,0,1,
GMAgap1,240,FRAM-dead,0,0,2,
GMAgap1,240,FRAM,0,0,1,
GMAgap1,240,FAGR,0,0,4,
GMAgap1,120,ACPE,0,1,3,
GMAgap1,120,BEAL,0,0,5,
GMAgap1,120,FAGR,0,0,5,
GMAgap1,120,FRAM-dead,0,0,1,
GMAmat2,0,BEAL,0,0,6,
GMAmat2,0,ACRU,0,0,3,
GMAmat2,0,FRAM,0,0,1,
GMAmat2,0,BEAL-dead,0,0,13,
GMAmat2,0,ACPE,0,0,3,
GMAmat2,0,FAGR,0,0,1,
GMAmat2,120,ACPE,0,0,2,
GMAmat2,120,BEAL,0,0,18,
GMAmat2,120,ACRU,0,0,2,
GMAmat2,120,FAGR,0,0,6,
GMAmat2,120,VIAL,2,0,0,
GMAmat2,240,FRAM,0,0,6,
GMAmat2,240,BEAL,0,0,11,
GMAmat2,240,SAMB,0,0,1,
GMAgap2,0,FAGR,0,0,4,
GMAgap2,0,BEAL,0,0,11,
GMAgap2,0,FRAM,0,0,2,
GMAgap2,120,FRAM,0,1,4,
GMAgap2,120,BEAL,0,0,6,
GMAgap2,120,FRAM,0,0,3,
GMAgap2,120,FAGR,0,0,12,
GMAgap2,120,VIAL,1,0,0,
GMAgap2,240,BEAL,0,1,8,
GMAgap2,240,FRAM,0,0,1,
GMAgap2,240,FRAM,0,0,2,
GMAgap2,240,FAGR,0,1,6,
GMRB5unh1,0,VIAL,21,0,0,
GMRB5unh1,240,VIAL,16,0,0,
GMRB5unh1,240,ACPE,0,0,1,
GMRB5unh1,120,VIAL,31,0,0,
GMRB5unh1,120,ACPE,0,0,1,
GMRB5unh1,120,BEAL,0,0,1,
GMRB5unh2,0,FAGR,0,4,0,
GMRB5unh2,0,VIAL,8,0,0,
GMRB5unh2,120,FAGR,0,3,0,
GMRB5unh2,240,FAGR,0,0,2,
GMRB5unh3,0,VIAL,21,0,0,
GMRB5unh3,0,ACPE,0,1,0,
GMRB5unh3,120,FAGR-dead,0,1,1,
GMRB5unh3,120,FAGR,0,0,1,
GMRB5unh4,0,FAGR,0,1,3,
GMRB5unh4,120,ACRU,0,0,1,
GMRB6unh1,0,FAGR,0,2,2,
GMRB6unh1,0,PIRU,0,0,1,
GMRB6unh1,120,FAGR,0,1,1,
GMRB6unh1,120,PIRU-dead,0,0,1,
GMRB6unh1,240,FAGR,0,3,1,
GMRB6unh2,0,ACPE,0,1,1,
GMRB6unh2,120,ACPE,0,4,0,
GMRB6unh2,240,ACPE,0,5,0,
GMRB6unh2,240,FAGR,0,1,1,
GMRB6unh4,0,FAGR,0,6,0,
GMRB6unh4,120,ACPE,0,10,0,
GMRB6unh4,240,ACPE,0,14,0,
GMRB6unh4,240,FAGR,0,1,1,
GMMTmat1,0,ACSA,0,2,0,
GMMTmat1,120,VIAL,10,0,0,
GMMTgap1,240,FRAM,0,1,0,
GMMTgap1,240,ACSA,0,1,0,
GMMTgap1,240,BEAL,0,1,0,
GMMTgap1,240,SAMB,4,0,0,
GMMTgap1,240,RUBUS,5,0,0,
GMMTgap1,240,FAGR,0,2,0,
GMMTgap1,0,FAGR,0,2,0,
GMMTgap1,0,RUBUS,4,0,0,
GMMTgap1,120,RUBUS,10,0,0,
GMMTgap1,120,FRAM,0,1,0,
GMMTmat2,120,FAGR,0,0,1,
GMMTmat2,120,VIAL,2,0,0,
GMMTmat2,120,RUBUS,3,0,0,
GMMTmat2,120,ACPE,0,2,0,
GMMTmat2,240,FAGR,0,4,0,
GMMTgap2,0,ACSA,0,5,0,
GMMTgap2,120,RUBUS,12,0,0,
GMMTgap2,120,VIAL,9,0,0,
GMMTgap2,120,ACSA,0,4,0,
GMMTgap2,120,FAGR,0,3,0,
GMMTgap2,240,RUBUS,7,0,0,
GMMTgap3,0,FAGR,0,5,0,
GMMTgap3,0,RUBUS,21,0,0,
GMMTgap3,120,RUBUS,29,0,0,
GMMTgap3,240,VIAL,5,0,0,
GMMTgap3,240,RUBUS,4,0,0,
GMMTgap3,240,ACSA,0,2,0,
GMMTmat3,0,RUBUS,10,0,0,
GMMTmat3,0,FRAM,0,1,0,
GMMTmat3,0,SAMB,5,0,0,
GMMTmat3,120,ACPE,0,4,0,
GMMTmat3,120,ACSA,0,4,0,
GMMTmat3,120,FAGR,0,2,0,
GMMTmat3,120,FRAM,0,2,0,
GMMTmat3,120,RUBUS,18,0,0,
GMMTmat3,240,FAGR,0,3,0,
GMMTmat3,240,ACPE,0,1,0,
GMMTmat3,240,ACSA,0,22,0,
GMMTmat3,240,FRAM,0,10,0,
GMMTmat3,240,RUBUS,0,6,0,
CH224mat2,0,FAGR,0,0,2,
CH224mat2,0,ACPE,0,0,2,
CH224mat2,240,ACPE,0,2,3,
CH224mat2,240,ACPE-dead,0,1,0,
CH224gap2,0,ACSA,0,3,3,
CH224gap2,240,OSVI,0,0,1,
CH224gap2,240,RUBUS,2,0,0,
CH224mat3,0,ACPE,0,0,1,
CH224mat3,0,ACSA,0,2,0,
CH224mat3,0,SAMB,2,0,0,
CH224mat3,120,BEAL,0,1,0,
CH224mat3,120,FAGR,0,1,0,
CH224mat3,120,ACPE,0,1,0,
CH224mat3,120,TIAM,0,1,0,
CH224mat3,120,ACSA,0,1,0,
CH224mat3,240,ACSA,0,2,0,
CCH224gap3,0,FAGR,0,3,2,
CCH224gap3,0,OSVI,0,1,1,
CCH224gap3,0,FRAM,0,3,1,
CCH224gap3,120,FAGR,0,7,0,
CCH224gap3,120,RUBUS,2,0,0,
CCH224gap3,120,FRAM,0,1,0,
CCH224gap3,240,FRAM,0,6,0,
CCH224gap3,240,ACSA,0,3,0,
CCH224gap3,240,SAMB,1,0,0,
CH231unh1,0,FAGR,0,1,0,
CH231unh1,240,FAGR,0,4,2,
GSF396mat2,0,ACPE,0,0,1,
GSF396mat2,0,ACPE-dead,0,0,1,
GSF396mat2,240,ACPE,0,2,2,
GSF396mat2,120,FAGR,0,1,1,
JMP1mat1,0,PRSE,0,1,0,
JMP1mat1,0,ACPE,0,1,2,
JMP1mat1,0,ACSA,0,5,0,
JMP1mat1,120,ACSA,0,5,5,
JMP1mat1,120,ACPE,0,0,1,
JMP1mat1,120,ACSP2,0,3,0,
JMP1mat1,240,ACSA,0,7,8,
JMP1mat1,240,ACPE,0,1,1,
JMP1mat1,0,ACPE,0,3,6,
JMP1mat1,0,ACSA,0,4,0,
JMP1mat1,120,ACSA,0,4,0,
JMP1mat1,120,ACPE,0,3,2,
JMP1mat1,120,FAGR,0,1,0,
JMP1mat1,240,ACPE,0,2,6,
JMP1mat2,0,ACPE,0,3,6,
JMP1mat2,0,ACSA,0,2,0,
JMP1mat2,120,ACSA,0,4,0,
JMP1mat2,120,ACPE,0,3,2,
JMP1mat2,120,FAGR,0,1,0,
JMP1mat2,240,ACPE,0,2,6,
JMP1mat3,0,ACSP2,0,1,0,
JMP1mat3,0,ACSA,0,4,4,
JMP1mat3,0,FRAM,0,1,0,
JMP1mat3,0,ACPE,0,0,4,
JMP1mat3,120,ACSP2,0,3,0,
JMP1mat3,120,PRVI,0,2,0,choke cherry
JMP1mat3,120,ACSA,0,6,0,
JMP1mat3,120,ACPE,0,1,0,
JMP1mat3,240,PRVI,0,1,0,choke cherry
JMP1mat3,240,PRPE,0,1,0,
JMP1mat3,240,ACPE,0,1,1,
JMP1mat3,240,FRAM,0,3,0,
JMP1mat3,240,ACSA,0,1,0,
GSF396mat1,0,ABBA,0,2,0,
GSF396mat1,0,ACPE,0,4,2,
GSF396mat1,0,PRSE,0,2,0,
GSF396mat1,0,FAGR,0,1,0,
GSF396mat1,120,ACRU,0,1,0,
GSF396mat1,120,PRSE,0,1,2,
GSF396mat1,120,FAGR,0,1,1,
GSF396mat1,120,ACSA,0,1,0,
GSF396mat1,240,ACPE,0,2,4,
GSF396mat1,240,PRSE,0,2,2,
GSF396mat1,240,ACSA,0,1,0,
GSF396mat1,240,BEAL,0,1,0,
GSF396mat1,240,RUBUS,4,0,0,
GSF396mat1,240,ACRU,0,1,0,
GSF396gap2,0,RUBUS,19,0,0,
GSF396gap2,0,FRAM,0,4,1,
GSF396gap2,0,ACSA,0,2,2,
GSF396gap2,120,RUBUS,28,0,0,
GSF396gap2,240,FRAM,0,2,0,
GSF396gap2,240,ACPE,0,1,1,
GSF396gap2,240,RUBUS,25,0,0,
GSF396gap2,240,ACSA,0,8,0,
GSF396mat3,0,ACPE,0,1,0,
GSF396mat3,120,ACPE,0,1,0,
GSF396mat3,240,FAGR,0,0,2,
GSF396mat3,240,FAGR-dead,0,0,1,
GSF396mat4,0,ACPE,0,4,1,
GSF396mat4,120,RUBUS,0,3,0,
GSF396mat4,240,RUBUS,0,3,0,
GSF396mat5,0,PRSE,0,1,0,
GSF396mat5,0,RUBUS,3,0,0,
GSF396mat5,0,BEAL,0,3,0,
GSF396mat5,0,ACPE,0,0,3,
GSF396mat5,0,ACRU,0,1,0,
GSF396mat5,120,PRSE,0,0,1,
GSF396mat5,120,ACPE,0,1,5,
GSF396mat5,120,RUBUS,2,0,0,
GSF396mat5,240,ACPE,0,0,1,
