plot_ID,azimuth,species,tally,
HRgap1,60,ACPE,1,
HRgap1,60,ACSA,3,
HRgap1,60,BEPA,2,
HRgap1,60,RIBES,2,
HRgap1,180,BEPA,1,
HRgap1,180,ACSA,4,
HRgap1,300,BEPA,3,
HRgap1,300,ACRU,5,
HRgap2,60,ACRU,1,
HRgap2,60,ACSA,2,
HRgap2,60,FAGR,1,
HRgap2,180,ACSA,8,
HRgap2,180,ACRU,1,
HRgap2,180,RICY,3,
HRmat1,60,ACSA,5,
HRmat1,60,ACRU,1,
HRmat1,60,ACPE,7,
HRmat1,180,ACSA,39,
HRmat1,180,OSVI,2,
HRmat1,300,ACSA,21,
HRmat1,300,OSVI,1,
HRgap3,60,ACSA,14,
HRgap3,180,ACSA,34,
HRgap3,180,ACRU,5,
HRgap3,300,ACSA,30,
HRgap3,300,ACRU,3,
HRunh1,180,ACSA,5,
HRunh1,180,ACRU,4,
HRunh1,300,ACSA,7,
HRunh1,300,ACRU,9,
HRunh2,60,ACSA,5,
HRunh2,60,ACRU,1,
HRunh2,180,ACSA,10,
HRunh2,180,ACRU,3,
HRunh2,180,FRAM,4,
HRunh2,300,FAGR,1,
HRunh2,300,ACSA,11,
CH145unh2,60,ACSA,20,
CH145unh2,180,ACSA,9,
CH145unh2,300,ACSA,13,
CH145unh2,300,ACPE,1,
HRunh3,60,TIAM,4,
HRunh3,60,ACSA,3,
HRunh3,60,FAGR,2,
HRunh3,180,ACSA,14,
HRunh3,180,OSVI,14,
CH145unh3,60,ACSA,2,
CH145unh3,300,ACSA,10,
CH145unh3,300,ACPE,1,
CH145unh3,180,ACSA,4,
HRunh4,60,ACSA,19,
HRunh4,60,ACRU,1,
HRunh4,180,ACSA,20,
HRunh4,300,ACSA,31,
HRunh4,300,ACRU,5,
HRmat2,60,ACSA,23,
HRmat2,180,ACRU,1,
HRmat2,180,ACSA,2,
HRmat2,300,ACSA,13,
HRmat2,300,ACRU,2,
CH145unh4,60,ACSA,3,
CH145unh4,180,ACSA,10,
CH145unh4,180,ACSP,1,
CH145unh4,300,ACSA,8,
CH145unh4,300,ACPE,3,
CH145unh4,300,TIAM,1,
HRmat3,60,OSVI,5,
HRmat3,60,UNK,17,
HRmat3,180,OSVI,2,
HRmat3,180,ACSA,3,
HRmat3,180,UNK,3,
HRmat3,300,ACPE,1,
HRmat3,300,ACSA,6,
HRmat3,300,ACRU,2,
HRmat3,300,OSVI,1,
CH2214unh1,60,ACSA,4,
CH2214unh1,60,ACRU,1,
CH2214unh1,180,ACSA,1,
CH2214unh1,300,ACSA,7,
CH2214unh2,60,ACSA,4,
CH2214unh2,180,ACPE,1,
CH2214unh2,180,ACSA,2,
CH2214unh2,300,ACSA,3,
CH2214unh3,60,ACRU,25,
CH2214unh3,60,OSVI,1,
CH2214unh3,60,ACPE,2,
CH2214unh3,60,ACSA,5,
CH2214unh3,180,OSVI,1,
CH2214unh3,180,ACSA,13,
CH2214unh3,180,ACRU,33,
CH2214unh3,180,ACPE,2,
CH2214unh3,300,OSVI,1,
CH2214unh3,300,ACRU,38,
CH2214unh3,300,ACSA,6,
MP19gap1,60,ACSA,4,
MP19gap1,60,ACPE,1,
MP19gap1,60,ACRU,2,
MP19gap1,180,ACSA,1,
MP19gap1,300,ACSA,2,
MP19gap1,300,ACRU,4,
CH138mat1,60,ACSA,9,
CH138mat1,60,ACRU,1,
CH138mat1,180,ACSA,7,
CH138mat1,300,ACSA,7,
CH138gap1,60,RUBUS,6,
CH138gap1,60,ACSA,1,
CH138gap1,180,ACSA,3,
CH138gap1,300,ACSA,2,
CH138gap2,300,ACSA,1,
CH138gap2,60,FAGR,2,
CH138gap2,60,VIAL,1,
CH138gap2,60,RUBUS,3,
CH138gap2,180,BEAL,2,
MP19mat1,60,ACSA,10,
MP19mat1,60,ACRU,3,
MP19mat1,180,ACSA,20,
MP19mat1,180,OSVI,2,
MP19mat1,300,ABBA,1,
MP19mat1,300,OSVI,2,
MP19mat1,300,ACRU,2,
MP19mat1,300,ACSA,7,
MP19gap2,60,FRAM,3,
MP19gap2,180,ACSA,4,
MP19gap2,180,ABBA,2,
MP19gap2,180,FRAM,8,
MP19gap2,300,ACSA,4,
MP19gap2,300,FRAM,1,
MP19gap2,300,ABBA,3,
MP19mat2,60,ACPE,1,
MP19mat2,60,ACRU,1,
MP19mat2,60,ACSA,1,
MP19mat2,180,ACSA,2,
MP19mat2,180,ACRU,1,
MP19mat2,300,ACSA,10,
MP19mat2,300,ACRU,4,
MP19gap3,60,ACPE,3,
MP19gap3,60,FAGR,1,
MP19gap3,60,ACSA,6,
MP19gap3,60,ACRU,2,
MP19gap3,180,ACSA,2,
MP19gap3,300,ACPE,6,
MP19gap3,300,ACSA,7,
MP19gap3,300,ACRU,2,
MP19mat3,60,ACSA,19,
MP19mat3,180,ACSA,29,
MP19mat3,300,ACSA,10,
MP1314gap1,60,ACSA,1,
MP1314gap1,300,ACSA,3,
MP1314mat1,60,ACSA,51,
MP1314mat1,180,ACSA,54,
MP1314mat1,300,ACSA,62,
MP1314gap2,60,ACSA,39,
MP1314gap2,180,ACSA,28,
MP1314gap2,180,FRAM,1,
MP1314gap2,300,ACSA,14,
MP1314gap3,60,FRAM,2,
MP1314gap3,60,ACSA,5,
MP1314gap3,180,ACSA,4,
MP1314gap3,180,FRAM,6,
MP1314gap3,300,ACSA,5,
MP1314gap3,300,FRAM,2,
CH138mat2,60,ACSA,4,
CH138mat2,180,ACSA,11,
CH138mat2,300,ACSA,1,
CH138gap3,60,FRAM,1,
CH138gap3,60,BEAL,1,
CH138gap3,60,ACSA,6,
CH138gap3,60,RUBUS,3,
CH138gap3,180,RUBUS,10,
CH138gap3,180,ACSA,25,
CH138gap3,180,FRAM,2,
CH138gap3,180,BEAL,1,
CH138gap3,300,ACSA,8,
CH138gap3,300,RUBUS,7,
CH138mat3,60,OSVI,2,
CH138mat3,60,FRAM,2,
CH138mat3,60,ACSA,6,
CH138mat3,60,ACPE,1,
CH138mat3,180,ACSA,10,
CH138mat3,180,ACPE,1,
CH138mat3,300,ACSA,17,
CH138mat3,300,TIAM,2,
CH138mat3,300,FRAM,3,
CH138mat4,60,ACSA,4,
CH138mat4,60,ACPE,1,
CH138mat4,180,RUBUS,8,
CH138mat4,180,FRAM,2,
CH138mat4,180,BEAL,1,
CH138mat4,180,ACSA,8,
CH138mat4,300,TIAM,1,
CH138mat4,300,ACSA,6,
CH138mat4,300,FRAM,3,
CH138mat4,300,ACPE,2,
CH145unh1,60,ACSA,13,
CH145unh1,60,ACRU,9,
CH145unh1,180,ACSA,6,
CH145unh1,300,ACSA,6,
CH145unh1,300,ACRU,11,
CH2214unh4,60,ACSA,21,
CH2214unh4,180,ACSA,110,
CH2214unh4,300,ACSA,56,
CH224gap1,60,ACSA,7,
CH224gap1,180,FRAM,1,
CH224gap1,180,OSVI,1,
CH224gap1,180,PRSE,1,
CH224gap1,180,ACSA,6,
CH224gap1,300,ACSA,7,
CH224gap1,300,PRSE,2,
MP19gap4 ,60,ACSA,24,
MP19gap4 ,180,ACSA,16,
MP19gap4 ,180,ACRU,1,
MP19gap4 ,300,ACSA,8,
MP19gap4 ,300,ACRU,1,
MP19gap4 ,300,OSVI,1,
GMCBmat2,60,FRAM,6,
GMCBmat2,60,ACPE,1,
GMCBmat2,60,ACSA,4,
GMCBmat2,180,ACSA,6,
GMCBmat2,180,FRAM,2,
GMCBmat2,300,FRAM,4,
GMCBmat2,300,ACSA,3,
GMCBmat2,300,VIAL,3,
GMCBgap3,300,FRAM,2,
GMCBgap3,300,VIAL,30,
GMCBgap3,180,FRAM,9,
GMCBgap3,180,ACSA,1,
GMCBgap3,180,BEAL,1,
GMCBgap3,60,RUBUS,20,
GMCBgap3,60,BEAL,12,
GMCBgap3,60,FRAM,9,
GMCBgap3,60,ACSA,6,
GMCBmat3,180,FRAM,2,
GMCBmat3,180,ACSA,3,
GMCBmat3,180,ACPE,1,
GMCBmat3,180,BEAL,1,
GMCBmat3,60,ACSA,4,
GMCBmat3,60,ACPE,1,
GMCBmat3,300,FRAM,7,
GMCBmat3,300,VIAL,4,
GMCBmat3,300,ACSA,1,
GMAmat1,60,ACRU,1,
GMAmat1,60,BEAL,1,
GMAmat1,60,ACSA,1,
GMAmat1,180,ACSA,2,
GMAmat1,300,ACPE,1,
GMAgap1,180,SWAL,1,
GMAmat2,60,ACRU,3,
GMAmat2,60,FRAM,1,
GMAmat2,180,FRAM,1,
GMAgap2,60,ACRU,1,
GMAgap2,180,VIAL,2,
GMAgap2,300,ACRU,3,
GMRB5unh1,60,UNK,7,
GMRB5unh1,60,ACSA,1,
GMRB5unh1,180,ACSA,8,
GMRB5unh1,180,VIAL,1,
GMRB5unh1,180,FRAM,1,
GMRB5unh1,300,ACSA,3,
GMRB5unh2,60,ACSA,2,
GMRB5unh2,180,PRSE,3,
GMRB5unh3,60,ACSA,3,
GMRB5unh3,180,PRSE,1,
GMRB5unh3,180,ACSA,6,
GMRB5unh3,300,ACSA,9,
GMRB5unh4,300,ACSA,3,
GMRB5unh4,180,ACSA,8,
GMRB5unh4,180,ACPE,2,
GMRB5unh4,60,ACSA,6,
GMRB6unh1,60,PRSE,1,
GMRB6unh1,180,ABBA,1,
GMRB6unh1,180,ACPE,1,
GMRB6unh1,300,PRSE,2,
GMRB6unh1,300,ACRU,4,
GMRB6unh2,60,FRAM,1,
GMRB6unh2,60,ACRU,1,
GMRB6unh2,60,ACPE,2,
GMRB6unh2,300,FRAM,1,
GMRB6unh2,300,PRSE,1,
GMRB6unh2,300,ACRU,1,
GMRB6unh2,180,ACRU,4,
GMRB6unh3,60,FRAM,6,
GMRB6unh3,300,FRAM,1,
GMRB6unh3,180,FRAM,2,
GMRB6unh4,60,PRSE,2,
GMRB6unh4,180,PRSE,1,
GMRB6unh4,300,ACSA,2,
GMRB6unh4,300,PRSE,1,
GMMTmat1,60,ACSA,4,
GMMTmat1,180,FRAM,1,
GMMTgap1,60,RUBUS,6,
GMMTgap1,60,ACSA,5,
GMMTgap1,60,FRAM,1,
GMMTgap1,60,PRSP,1,
GMMTgap1,180,ACSA,12,
GMMTgap1,180,ACRU,2,
GMMTgap1,180,FRAM,1,
GMMTgap1,180,RUBUS,3,
GMMTgap1,300,RUBUS,10,
GMMTgap1,300,BEAL,1,
GMMTgap1,300,FAGR,1,
GMMTmat2,60,ACSA,2,
GMMTmat2,60,PRSE,1,
GMMTmat2,300,FAGR,1,
GMMTmat2,300,ACPE,4,
GMMTmat2,300,ACSA,1,
GMMTmat2,300,ACPE,3,
GMMTgap2,60,ACSA,3,
GMMTgap2,60,ACPE,1,
GMMTgap2,300,RUBUS,6,
GMMTgap3,180,ACSA,1,
GMMTmat3,60,RUBUS,2,
GMMTmat3,180,ACSA,1,
GMMTmat3,180,RUBUS,4,
GMMTmat3,300,ACSA,5,
GMMTmat3,300,QURU,1,
GMMTmat3,300,RUBUS,2,
CH224mat2,60,ACSA,16,
CH224mat2,180,ACSA,35,
CH224mat2,180,FRAM,1,
CH224mat2,180,ACPE,1,
CH224mat2,300,ACSA,6,
CH224mat2,300,BEAL,1,
CH224mat2,300,OSVI,1,
CH224gap2,60,ACSA,7,
CH224gap2,300,FRAM,2,
CH224gap2,300,ACSA,4,
CH224mat3,60,ACSA,4,
CH224mat3,60,SAMB,3,
CH224mat3,180,FRAM,2,
CH224mat3,180,ACSA,9,
CH224mat3,180,FRAM,1,
CH224mat3,300,FRAM,2,
CH224mat3,300,ACSA,2,
CCH224gap3,60,ACSA,20,
CCH224gap3,60,BEAL,1,
CCH224gap3,180,FRAM,4,
CCH224gap3,180,FAGR,2,
CCH224gap3,180,ACSA,1,
CCH224gap3,180,RUBUS,13,
CCH224gap3,300,ACSA,19,
CH231unh1,60,ACSA,12,
CH231unh1,60,ACPE,4,
CH231unh1,180,ACSA,15,
CH231unh1,300,ACSA,13,
GSF396mat2,60,ACSA,5,
GSF396mat2,180,ACSA,3,
GSF396mat2,300,ACSA,14,
GSF396mat2,300,ACPE,3,
JMP1mat1,60,ACSA,2,
JMP1mat1,180,ACSA,5,
JMP1mat1,300,ACSA,4,
JMP1mat2,60,ACPE,4,
JMP1mat2,60,ACSA,2,
JMP1mat2,60,ACSP2,2,
JMP1mat2,300,ACSA,2,
JMP1mat2,180,ACSA,1,
JMP1mat3,180,ACPE,3,
JMP1mat3,180,ACSP2,1,
JMP1mat3,180,ACSA,4,
JMP1mat3,300,FRAM,1,
JMP1mat3,300,ACSA,5,
JMP1mat3,300,ACSP2,2,
JMP1mat3,300,FRAM,4,
JMP1mat3,60,ACSA,13,
JMP1mat3,60,ACRU,2,
JMP1mat4,300,ACSA,10,
JMP1mat4,60,ACSA,15,
JMP1mat4,180,PRVI,2,
JMP1mat4,180,ACSA,17,
JMP1mat4,180,PRSE,1,
GSF396mat1,60,ACRU,1,
GSF396mat1,180,ACRU,7,
GSF396mat1,180,PRSE,1,
GSF396mat1,300,ACPE,2,
GSF396mat1,300,ACRU,9,
GSF396mat1,300,PRSE,1,
GSF396gap2,300,ACSA,9,
GSF396gap2,300,FRAM,1,
GSF396gap2,180,ACSA,13,
GSF396gap2,60,ACSA,11,
GSF396gap2,60,RUBUS,6,
GSF396mat3,300,ACSA,6,
GSF396mat3,60,ACSA,23,
GSF396mat3,60,FAGR,2,
GSF396mat3,180,ACSA,2,
GSF396mat3,180,ACRU,1,
GSF396mat4,60,ACSA,3,
GSF396mat4,180,ACSA,4,
GSF396mat4,180,ACPE,2,
GSF396mat4,300,ACSA,13,
GSF396mat4,300,ACRU,1,
GSF396mat5,60,ACSA,2,
GSF396mat5,60,FRAM,1,
GSF396mat5,60,FRAM,1,
GSF396mat5,300,RUBUS,8,
GSF396mat5,300,ACRU,1,
GSF396mat5,300,FRAM,1,
GSF396mat5,300,ACSA,1,
GSF396mat5,180,ACSA,4,
GSF396mat5,180,FRAM,1,
GSF396gap1,300,RUBUS,20,
GSF396gap1,180,RUBUS,25,
GSF396gap1,180,BEAL,1,
GSF396gap1,60,RUBUS,45,
MPunh1,60,ACSA,72,
MPunh1,180,ACSA,19,
MPunh1,180,ACPE,1,
MPunh1,300,ACSA,66,
MPunh1,300,ACRU,2,
MPunh2,60,ACPE,1,
MPunh2,60,ACSA,40,
MPunh2,180,ACSA,42,
MPunh2,180,ACPE,3,
MPunh2,300,ACSA,140,
MPunh2,300,ACRU,1,
MPunh3,60,ACSA,85,
MPunh3,60,ACRU,1,
MPunh3,180,ACSA,11,
MPunh3,180,BEAL,1,
MPunh3,300,ACSA,21,
MP1314mat2,60,ACSA,50,
MP1314mat2,180,ACSA,70,
MP1314mat2,300,ACSA,48,
MP1314mat3,60,ACSA,25,
MP1314mat3,60,ACPE,2,
MP1314mat3,180,ACSA,43,
MP1314mat3,300,ACSA,53,
MP1314mat3,300,SAMB,2,sambucus sp. (more serrated than normal ash)
MPunh4,60,ACSA,28,
MPunh4,180,ACSA,23,
MPunh4,180,ACPE,2,
MPunh4,300,ACSA,27,
CH224mat1,60,ACSA,6,
CH224mat1,180,ACSA,21,
CH224mat1,180,BEAL,1,
CH224mat1,300,ACSA,14,
CH231unh2,60,ACSA,46,
CH231unh2,180,ACSA,30,
CH231unh2,180,ACPE,1,
CH231unh2,300,ACSA,5,
CH231unh2,300,OSVI,1,
CH231unh3,60,ACRU,1,
CH231unh3,60,ACSA,6,
CH231unh3,180,OSVI,2,
CH231unh3,180,ACSA,2,
CH231unh3,300,ACSA,3,
CH231unh3,300,ACRU,1,
CH231unh4,60,ACRU,1,
CH231unh4,180,QURU,2,
CH231unh4,180,ACSA,1,
CWEunh1,180,ACSA,1,
CWEunh1,300,FAGR,2,
CWEunh2,300,ACSA,6,
CWEunh2,300,BEFA,2,possibly OSVI
CWEunh2,60,ACSA,6,
CWEunh2,60,OSVI,1,
CWEunh2,180,ACSA,6,
CWEunh3,180,ACSA,15,
CWEunh3,300,ACSA,6,
CWEunh4,60,ACSA,9,
CWEunh4,60,PRPE,5,
CWEunh4,300,ACSA,6,
CWEunh4,180,ACSA,1,
JNPunh1,180,ACSA,1,
JNPunh1,300,FRAM,1,
JNPunh2,300,ACSA,1,
JNPunh2,180,FRAM,1,
JNPunh3,60,UNKHW,1,
JNPunh3,180,FRAM,1,
JNPunh3,300,FRAM,2,
JMP7mat1,60,ACSA,33,
JMP7mat1,180,ACSA,20,
JMP7mat1,300,ACSA,30,
JMP7mat1,300,FRAM,1,
JMP7mat2,180,ACSA,18,
JMP7mat2,180,FRAM,1,
JMP7mat2,300,ACSA,18,
JMP7mat2,300,ACRU,2,
JMP7mat2,300,ACPE,1,
JMP7mat2,300,FRAM,2,
JMP7mat2,60,ACPE,1,
JMP7mat2,60,ACSA,10,
JMP7mat3,180,ACSA,8,
JMP7mat3,300,ACSA,6,
JMP7mat3,60,ACSA,11,
JMP7mat3,60,FRAM,1,
JMP3unh1,60,ACSA,2,
JMP3unh1,180,ACSA,1,
JMP3unh1,300,ACSA,3,
HSP118unh1,300,ACSA,2,
HSP118unh1,60,ACSA,1,
HSP118unh1,180,ACSA,2,
HSP118unh2,300,PRSE,1,
HSP118unh2,300,FRAM,1,
HSP118unh2,300,ACSA,8,
HSP118unh2,300,FRAM,1,
HSP118unh2,300,FAGR,1,
HSP118unh2,60,ACSA,28,
HSP118unh2,60,FRAM,4,
HSP118unh2,180,ACSA,10,
HSP118unh3,300,ACSA,17,
HSP118unh3,300,ACPE,2,
HSP118unh3,60,BEAL,1,
HSP118unh3,60,ACSA,41,
HSP118unh3,180,VIAL,1,
HSP118unh3,180,ACSA,18,
HSP118unh3,180,PRSE,1,
HSP118unh3,180,ACPE,1,
HSP118unh4,180,ABBA,4,
HSP118unh4,300,ABBA,2,
HSP118unh4,300,VISP,2,see photo
MSF3111unh1,60,FRAM,4,
MSF3111unh1,60,SWAL,3,[nolonger Cornus] alternifolia
MSF3111unh1,60,ACSA,46,
MSF3111unh1,180,ACRU,2,
MSF3111unh1,180,RUBUS,1,
MSF3111unh1,180,ACSA,11,
MSF3111unh1,180,BEAL,1,
MSF3111unh1,300,ACSA,20,
MSF3111unh1,300,ACRU,1,
MSF3111unh1,300,ACPE,1,
MSF3111unh2,60,ACSA,80,
MSF3111unh2,180,ACSA,70,
MSF3111unh2,300,ACSA,108,
MSF3111unh3,60,ACSA,34,
MSF3111unh3,180,ACSA,43,
MSF3111unh3,300,ACSA,32,
